id,lambda_h,lambda_a,cs_h_p,cs_a_p
108,1.1110014,0.38803253,0.67839026,0.32922912
109,1.8574554,1.367022,0.2548648,0.15606926
110,1.3526613,1.1422647,0.31909552,0.25855127
111,1.2749323,1.5973996,0.2024222,0.27944988
112,1.442299,1.580677,0.20583569,0.23638369
113,1.8252206,0.8497358,0.42752787,0.16118209
114,1.3989365,1.1333008,0.32196873,0.24685936
115,1.7094429,1.1844726,0.30590752,0.18096657
116,0.98501766,1.9753844,0.13870798,0.3734326
117,1.4665029,1.4541855,0.23359056,0.23073097
118,1.158402,3.395271,0.033531465,0.31398752
119,0.523135,0.6755371,0.508883,0.59265965
120,1.1065189,2.3342733,0.09688085,0.3307082
121,1.8662647,5.3965335,0.0045322645,0.15470043
122,1.2266406,0.90459764,0.4047047,0.29327616
123,0.929345,0.70679677,0.49322155,0.3948122
124,1.5326675,1.2908664,0.2750324,0.21595882
125,2.5092287,0.8961705,0.4081296,0.08133095
126,1.0979328,0.5855778,0.5567841,0.3335599
127,1.4504151,0.8046605,0.44723976,0.23447292
128,1.1201048,0.9034235,0.4051802,0.32624564
129,0.7128662,2.1265557,0.11924732,0.49023706
130,1.5798258,1.7087816,0.1810863,0.20601098
131,1.4792842,1.5521718,0.21178752,0.2278007
132,0.39056438,3.8012457,0.022342922,0.6766749
133,1.731575,1.5808922,0.20579141,0.1770054
134,0.8838695,1.5352563,0.21540049,0.413181
135,1.1380632,2.4690664,0.08466387,0.32043904
136,1.1746445,1.6515975,0.19174334,0.3089288
137,1.2487566,0.6665899,0.5134565,0.28686124
138,1.3612819,1.0465127,0.3511602,0.25633198
139,2.887809,1.1075108,0.33038032,0.05569811
140,1.1457746,1.2313361,0.2919023,0.3179775
141,1.9986937,1.4957106,0.2240893,0.13551217
142,0.8500867,1.9428209,0.14329913,0.4273779
143,1.5358949,1.5762523,0.20674847,0.21526298
144,1.5831866,1.7163835,0.1797149,0.20531978
145,1.8648585,1.7515438,0.17350589,0.15491813
146,0.9415119,1.3710179,0.2538484,0.3900377
147,0.63488877,1.5087897,0.22117752,0.5299944
148,2.5594125,0.60255253,0.5474126,0.07735018
149,2.0850234,0.88722396,0.4117973,0.12430422
150,1.6492871,2.0092738,0.13408601,0.19218686
151,0.4159415,2.0275207,0.13166155,0.6597189
152,0.7613782,1.9717288,0.13921598,0.4670223
153,2.255936,1.4093877,0.24429283,0.104775436
154,1.8410698,1.6049259,0.20090444,0.15864761
155,1.209798,2.5366879,0.07912806,0.29825756
156,2.3054357,1.0785186,0.34009898,0.09971536
157,3.2317,0.60583025,0.5456213,0.03949031
158,0.9789588,1.2196301,0.2953394,0.37570205
159,0.5783589,1.213997,0.29700777,0.560818
160,2.9082856,1.2994958,0.27266923,0.054569203
161,1.1477879,1.295419,0.27378312,0.317338
162,1.4330951,1.1025286,0.33203045,0.23856938
163,0.97333366,1.1168665,0.3273038,0.3778214
164,4.0480886,0.924466,0.3967432,0.017455708
165,0.48495224,1.6938727,0.1838063,0.6157266
166,1.5880525,1.5530841,0.21159437,0.20432314
167,1.5655212,1.210371,0.29808664,0.20897906
168,0.75198,1.7155343,0.17986758,0.4714322
169,0.873832,1.6748741,0.18733177,0.41734922
170,3.4061804,0.8734135,0.41752392,0.033167645
171,1.8312026,1.1015251,0.3323638,0.16022076
172,1.4384645,1.972721,0.13907792,0.23729184
173,2.0725293,1.0337567,0.3556683,0.12586702
174,1.7290562,1.0624293,0.3456152,0.1774518
175,2.8588629,0.82694024,0.43738556,0.057333916
176,0.65436625,1.4025955,0.24595775,0.51977134
177,0.9994623,1.4085858,0.2444888,0.36807728
178,2.2281485,0.98595476,0.37308285,0.10772771
179,1.0848786,0.9482658,0.38741228,0.33794284
180,1.6073016,1.6769426,0.18694468,0.20042771
181,1.3847638,1.373877,0.25312367,0.25038293
182,1.1763787,1.0016329,0.3672792,0.30839348
183,1.2599742,0.9693723,0.37932107,0.28366134
184,0.9260114,1.7109677,0.18069084,0.39613056
185,1.7864704,1.2740697,0.27969104,0.1675505
186,2.4808729,1.7398157,0.17555276,0.08367016
187,0.8412492,1.9155458,0.14726144,0.43117154
188,1.7212603,1.2517736,0.28599712,0.1788406
189,2.46277,1.1412042,0.31943414,0.085198626
190,1.0254604,1.3514272,0.25887054,0.3586313
191,0.8562391,1.4303423,0.23922701,0.42475656
192,0.7212989,0.76472986,0.46545964,0.4861204
193,0.79551786,1.1939886,0.30301028,0.45134744
194,2.10006,0.42685664,0.6525571,0.12244909
195,1.047993,0.78391063,0.45661685,0.3506408
196,1.8419682,1.40604,0.24511202,0.15850516
197,0.7867225,1.2067776,0.29915977,0.45533475
198,0.9013645,1.2347381,0.29091096,0.40601525
199,1.4909328,1.7262425,0.1779518,0.2251625
200,0.93163204,1.4055767,0.2452256,0.3939103
201,0.62109774,0.94971716,0.38685042,0.53735423
202,1.1615398,1.110879,0.32926944,0.31300384
203,2.1843107,1.3038292,0.2714902,0.112555295
204,1.1623663,1.5904223,0.20383951,0.31274527
205,1.7649169,0.6670521,0.5132193,0.17120102
206,1.6837535,0.7738536,0.46123222,0.18567573
207,1.7316875,0.95563424,0.38456818,0.17698549
208,1.0566556,0.8915997,0.40999937,0.3476164
209,1.007957,0.70712495,0.49305975,0.36496383
210,0.9217336,2.2128932,0.10938371,0.3978288
211,1.6497979,1.058269,0.34705603,0.19208871
212,1.4346567,0.4683341,0.62604433,0.23819712
213,1.4680115,0.79284275,0.45255646,0.23038314
214,0.96548134,1.3197621,0.26719886,0.38079986
215,2.1639698,1.1439964,0.31854346,0.114868216
216,1.2188619,1.4604341,0.23213547,0.29556635
217,1.7835964,0.9918058,0.3709063,0.16803275
218,0.7575945,1.1475925,0.3174,0.4687927
219,1.9022508,1.7243912,0.17828155,0.14923237
220,0.7604524,0.93234986,0.39362767,0.4674549
221,3.8934205,1.437589,0.23749967,0.020375533
222,0.6048565,1.1752851,0.30873093,0.54615283
223,1.613386,0.955048,0.38479367,0.19921194
224,1.7772793,0.9379423,0.39143246,0.1690976
225,2.4437249,1.2067477,0.29916868,0.0868368
226,1.2213229,1.069929,0.34303287,0.29483986
227,1.4744127,0.8084615,0.44554302,0.22891313
228,3.462286,0.79962677,0.44949666,0.031357992
229,3.2266898,1.6126585,0.19935691,0.039688658
230,0.812447,0.68513197,0.50402373,0.44377083
231,0.6578236,1.4003862,0.24650176,0.5179774
232,2.9214425,1.0745655,0.34144607,0.053855944
233,1.241825,1.4643399,0.23123059,0.28885657
234,0.80630136,1.0904638,0.3360606,0.44650647
235,1.2297165,1.6655668,0.18908344,0.29237545
236,2.17715,0.9595924,0.38304898,0.11336415
237,1.8211443,1.4174254,0.24233712,0.16184044
238,1.3035111,0.7603394,0.46750775,0.27157658
239,1.7691755,1.3957448,0.24764852,0.17047349
240,1.4798241,1.2540311,0.2853522,0.22767775
