id,lambda_h,lambda_a,cs_h_p,cs_a_p
541,1.2272018,1.9802294,0.13803758,0.29311162
542,0.92096007,2.6244078,0.072482675,0.39813662
543,0.94469553,1.3338119,0.263471,0.38879794
544,1.5317738,1.009566,0.36437708,0.21615192
545,1.1432271,1.2072661,0.2990136,0.3187886
546,1.6223212,2.4996696,0.08211213,0.19743985
547,3.213201,1.2190552,0.29550922,0.040227637
548,1.6026452,1.6391196,0.1941509,0.20136316
549,0.6384933,1.2636193,0.28262925,0.5280875
550,1.604823,1.1788969,0.30761787,0.20092513
551,1.4359637,1.3018796,0.27202,0.237886
552,1.7889903,1.0617315,0.34585646,0.16712885
553,1.8082176,0.89528507,0.40849116,0.16394609
554,0.77622986,0.85056716,0.42717257,0.46013752
555,1.8293505,0.6054834,0.5458105,0.16051778
556,0.80982345,0.96515346,0.38092473,0.4449366
557,1.2540139,1.1125041,0.32873476,0.28535712
558,1.3741655,3.0802379,0.04594833,0.25305066
559,0.7541814,1.3399231,0.2618658,0.47039554
560,0.8307639,1.042972,0.3524058,0.43571633
561,1.9022876,1.2491754,0.2867411,0.14922686
562,1.7637587,1.5632265,0.20945917,0.17139941
563,0.8591818,2.0430276,0.12963562,0.42350844
564,0.5001341,0.94116443,0.39017326,0.6064493
565,0.66467535,1.2995807,0.27264607,0.5144405
566,1.8452355,0.59036356,0.5541258,0.15798813
567,0.8668373,0.91656566,0.39989,0.42027867
568,0.969364,1.1150551,0.32789722,0.3793242
569,1.0540155,1.031875,0.35633817,0.3485354
570,2.3104002,1.2138577,0.29704916,0.099221535
571,0.7251836,1.0624684,0.34560165,0.48423564
572,1.8038195,0.9687774,0.37954676,0.16466872
573,1.8972821,1.2945322,0.27402604,0.14997569
574,1.2657208,1.43088,0.23909844,0.28203595
575,1.513674,1.1132369,0.32849395,0.22009985
576,2.2892056,0.9818043,0.37463453,0.10134695
577,1.6688834,1.0268226,0.35814312,0.18845737
578,0.6794008,0.7890654,0.45426914,0.5069207
579,1.45466,1.2017027,0.3006818,0.23347971
580,1.610229,0.7765976,0.45996836,0.19984184
581,0.63178945,1.7999109,0.16531362,0.5316396
582,3.3744256,0.42963645,0.6507456,0.03423778
583,1.5761071,1.0970193,0.33386478,0.2067785
584,1.7515476,1.2271042,0.29314023,0.17350522
585,0.40610325,1.7731295,0.16980077,0.6662414
586,1.7336668,0.7360811,0.47898734,0.17663555
587,1.5923461,1.0898864,0.33625472,0.20344776
588,1.1688441,1.1487428,0.31703508,0.3107259
589,1.2577454,0.89332056,0.4092944,0.28429428
590,0.70596105,2.028885,0.13148206,0.49363396
591,1.3999723,1.2575375,0.2843534,0.2466038
592,1.4542153,0.92487264,0.39658192,0.23358357
593,2.483209,0.5796173,0.56011266,0.083474934
594,1.1739125,1.0745512,0.34145096,0.309155
595,1.1626827,1.4343358,0.23827358,0.31264636
596,0.9142558,1.1682075,0.31092376,0.4008148
597,2.0709496,1.2664338,0.2818349,0.12606601
598,1.1249843,1.4299846,0.23931263,0.3246576
599,2.8517294,0.90742826,0.40356076,0.05774437
600,1.3500224,1.0066174,0.36545303,0.25923443
601,1.3622009,0.90605205,0.4041165,0.25609654
602,1.772622,0.8752073,0.4167756,0.16988698
603,1.7715032,1.1820736,0.30664223,0.17007715
604,0.5740928,1.3240988,0.2660426,0.56321555
605,0.74178886,1.7331839,0.17672086,0.47626117
606,0.9284206,1.0333987,0.35579562,0.3951774
607,1.874242,1.1462508,0.31782612,0.15347126
608,1.4708663,0.95580333,0.38450313,0.22972637
609,0.5903575,1.7430772,0.17498113,0.5541292
610,1.8043002,0.5765627,0.5618262,0.1645896
611,1.782107,1.0985729,0.3333465,0.16828321
612,2.2357194,0.79001683,0.4538372,0.106915176
613,2.4538076,1.1704234,0.31023556,0.08596563
614,1.7190291,1.2370545,0.29023787,0.1792401
615,1.1983415,1.4254658,0.24039645,0.30169415
616,2.1442223,0.6394972,0.52755755,0.11715912
617,1.9555082,1.1332151,0.32199633,0.14149255
618,2.3530192,1.3673943,0.25476995,0.09508165
619,1.5901877,1.21197,0.29761043,0.20388734
620,1.1287336,1.5611428,0.20989606,0.32344258
621,1.14678,2.1684742,0.114351965,0.31765798
622,1.3533006,0.95573336,0.38453004,0.25838602
623,2.2230563,0.6482321,0.52296954,0.10827767
624,0.82313114,1.3614103,0.25629908,0.43905476
625,0.68022585,1.1928113,0.30336723,0.5065026
626,1.9345596,0.53815997,0.58382154,0.14448789
627,1.0300026,1.6620324,0.18975295,0.35700598
628,1.4684887,1.2047322,0.29977226,0.23027323
629,1.6347951,0.87955856,0.41496605,0.19499232
630,0.80759776,1.175392,0.3086979,0.44592804
631,0.98637384,1.19265,0.30341616,0.3729265
632,2.243217,0.5881218,0.55536944,0.106116585
633,1.8794664,1.3834672,0.2507078,0.15267155
634,1.908532,1.0218146,0.3599412,0.14829792
635,1.767506,1.3061042,0.27087325,0.17075834
636,1.1427641,2.2790148,0.10238502,0.31893626
637,1.0897287,0.9811175,0.37489194,0.33630773
638,1.1481088,1.1945344,0.30284494,0.31723613
639,1.979874,1.130814,0.32277045,0.13808663
640,1.7982541,0.42292356,0.65512866,0.16558774
641,0.98131573,1.4063016,0.24504788,0.37481758
642,1.5899832,1.1151466,0.3278672,0.20392904
643,1.0653177,1.7581302,0.17236686,0.34461835
644,1.2997946,0.86578584,0.4207208,0.27258778
645,1.1438711,1.8180797,0.1623372,0.31858337
646,1.2022252,0.81337494,0.44335923,0.30052474
647,1.3201,1.0678523,0.343746,0.2671086
648,1.9080373,1.2566762,0.2845984,0.14837131
649,0.93701166,1.8054178,0.16440576,0.3917969
650,1.5123342,1.2995759,0.27264738,0.22039492
651,1.4320365,0.6222792,0.53671974,0.23882207
652,1.7023817,1.0135149,0.36294103,0.18224894
